A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-03 13:00,2016,1,3,13,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 14:00,2016,1,3,14,107,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 15:00,2016,1,3,15,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 16:00,2016,1,3,16,157,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 17:00,2016,1,3,17,208,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 18:00,2016,1,3,18,214,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 19:00,2016,1,3,19,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 20:00,2016,1,3,20,217,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 21:00,2016,1,3,21,229,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 22:00,2016,1,3,22,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-03 23:00,2016,1,3,23,243,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 00:00,2016,1,4,0,251,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 01:00,2016,1,4,1,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 02:00,2016,1,4,2,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 03:00,2016,1,4,3,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 04:00,2016,1,4,4,7,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-04 05:00,2016,1,4,5,8,µg/m³,1 Hr,Valid
